Date,Close,High,Low,Open,Volume,Stock
2025-03-20,872.580322265625,875.1703133281802,862.9850461318551,865.3036807089222,17833978,HDFC BANK
2025-03-21,873.3696899414062,875.2196836615442,866.0684175252852,866.0684175252852,33508264,HDFC BANK
2025-03-24,887.9969482421875,890.1676194932312,874.997671627427,877.6369838460287,17393736,HDFC BANK
2025-03-25,898.5789184570312,909.5555477752322,888.7369760332164,890.4143157035983,39101416,HDFC BANK
2025-03-26,891.2283325195312,901.5636066855513,888.9836493829623,900.3302775382388,24478442,HDFC BANK
2025-03-27,900.5029296875,908.2235821777275,887.0596420099644,887.9969842041877,41658100,HDFC BANK
2025-03-28,901.9088745117188,905.7568853680813,890.8829244709937,902.3035639097062,28773648,HDFC BANK
2025-04-01,872.1363525390625,892.8809726796349,870.9030234039785,888.9836405685396,28511006,HDFC BANK
2025-04-02,886.4676513671875,887.602278026219,873.5423260418547,873.5423260418547,11573564,HDFC BANK
2025-04-03,885.456298828125,889.9702954640933,876.6503409310941,878.6729886492828,11250038,HDFC BANK
2025-04-04,896.5316772460938,908.6922548603657,893.4729847277881,894.4103269547068,33540454,HDFC BANK
2025-04-07,867.1289672851562,878.0562747489253,857.5090006629878,869.6450067324856,37995450,HDFC BANK
2025-04-08,872.7777099609375,879.1170096868965,863.4784203033727,870.730371547347,35563872,HDFC BANK
2025-04-09,870.7303466796875,875.6636630914704,865.0570328061372,870.7303466796875,22454608,HDFC BANK
2025-04-11,891.3269653320312,897.567622795633,875.540352413462,875.540352413462,32775766,HDFC BANK
2025-04-15,920.0142211914062,925.8848799667485,915.1302257322174,920.0635423129839,49298344,HDFC BANK
2025-04-16,926.4768676757812,929.33821542373,917.8435635307726,929.33821542373,19136820,HDFC BANK
2025-04-17,940.6354370117188,947.048748489299,925.835487448072,928.4501692927759,35703084,HDFC BANK
2025-04-21,950.6994018554688,962.3420166432835,942.2634427629204,949.170085798879,34247298,HDFC BANK
2025-04-22,967.7686767578125,972.1593405008402,954.5967457498784,954.5967457498784,45961750,HDFC BANK
2025-04-23,949.1207275390625,976.2539669757358,947.4433879660209,976.2539669757358,30570642,HDFC BANK
2025-04-24,945.6181030273438,949.1207455952106,939.8460867592294,942.2634238174406,25931754,HDFC BANK
2025-04-25,942.8554077148438,953.6100615716746,933.2848220611925,949.5647662059754,18500878,HDFC BANK
2025-04-28,947.29541015625,951.982060830828,941.4741328194633,942.8554253066497,13920492,HDFC BANK
2025-04-29,941.6714477539062,951.5380804410966,937.4287475214969,946.6047640975014,18918308,HDFC BANK
2025-04-30,949.6633911132812,955.5340495753018,942.4114402150566,943.7434115323153,31936870,HDFC BANK
2025-05-02,948.1341552734375,958.0007887427045,947.1968130496268,952.0314875380283,17840404,HDFC BANK
2025-05-05,955.4847412109375,962.9833580251333,953.2647488384409,956.5700467268101,15068024,HDFC BANK
2025-05-06,952.9686889648438,957.112686715781,949.3180830668039,952.1300492793257,17490156,HDFC BANK
2025-05-07,959.8260498046875,961.355365881208,948.3807795701131,954.1034146874002,21420778,HDFC BANK
2025-05-08,951.3900756835938,964.364722012384,946.752746184645,964.364722012384,34803430,HDFC BANK
2025-05-09,932.248779296875,946.7034204881495,930.8181657127636,942.3127568324845,17188796,HDFC BANK
2025-05-12,965.5487060546875,966.880737676539,943.3981625785179,946.0127842578852,18618972,HDFC BANK
2025-05-13,948.4793701171875,967.7686246091653,947.1967199365026,961.9966686855105,24242102,HDFC BANK
2025-05-14,942.5594482421875,952.2287366384547,938.8101397074491,948.2327622761527,15445308,HDFC BANK
2025-05-15,954.0047607421875,959.4314088460198,935.85013208818,943.9901042439285,32241458,HDFC BANK
2025-05-16,954.44873046875,958.9380967138302,951.340777169636,954.0047801554118,15868010,HDFC BANK
2025-05-19,956.4220581054688,959.5300716290252,952.6234284399217,955.5834183781088,10202964,HDFC BANK
2025-05-20,944.6807861328125,954.3993955236706,943.7434439560598,951.1927398071444,23879090,HDFC BANK
2025-05-21,950.5514526367188,960.4674068130723,947.739426083267,950.6500948788123,15132040,HDFC BANK
2025-05-22,947.1474609375,949.2687509312965,939.895449442171,944.828766015395,21306670,HDFC BANK
2025-05-23,953.9060668945312,955.583406549638,944.4834444188342,947.246089616049,9566072,HDFC BANK
2025-05-26,957.1619873046875,961.9473401627192,950.6007128758197,954.5966869630639,10802860,HDFC BANK
2025-05-27,950.3047485351562,961.0100208805311,945.3714322062008,952.9193700568147,26162148,HDFC BANK
2025-05-28,948.9234008789062,954.3500488693757,946.0620533045636,947.2953823933067,18157594,HDFC BANK
2025-05-29,950.896728515625,957.4580633637506,940.9314535555673,951.1433943336576,28917794,HDFC BANK
2025-05-30,959.480712890625,961.4047183192448,949.8607459686729,953.0674016093235,28748078,HDFC BANK
2025-06-02,953.166015625,955.09002099665,941.2767355690125,952.1793523801688,14668822,HDFC BANK
2025-06-03,949.466064453125,962.9833634640112,947.1967509482078,956.0767204883472,24377584,HDFC BANK
2025-06-04,957.6553344726562,958.6913790708478,947.6407385330224,947.690059651711,12961542,HDFC BANK
2025-06-05,961.79931640625,966.3873245707182,957.1619871239031,961.0099978567567,22255418,HDFC BANK
2025-06-06,976.1552734375,984.8379583134906,958.3953347348495,959.0366899431259,30127008,HDFC BANK
2025-06-09,976.2540283203125,984.1966559557253,974.7740333489505,984.1966559557253,13202588,HDFC BANK
2025-06-10,969.5447387695312,978.1780428487654,967.472709657825,978.1780428487654,15533126,HDFC BANK
2025-06-11,962.1940307617188,970.6793107759778,960.516691162301,970.6793107759778,11096394,HDFC BANK
2025-06-12,958.74072265625,967.4233474890254,954.7447484104943,961.9966994408974,16349130,HDFC BANK
2025-06-13,946.0127563476562,953.6100757725884,943.7434428106371,947.19676434732,12117762,HDFC BANK
2025-06-16,954.7940673828125,956.520728121515,947.2460692080249,949.1700746468088,16513746,HDFC BANK
2025-06-17,951.9327392578125,957.852719054467,946.7527569357399,955.5834055099792,16978736,HDFC BANK
2025-06-18,954.0540771484375,955.2380851367438,945.7167603313338,945.7167603313338,18433816,HDFC BANK
2025-06-19,954.7447509765625,960.4180648603083,949.9593979158449,954.0540746334422,16876220,HDFC BANK
2025-06-20,969.2486572265625,971.8140179089729,952.9193918485255,952.9193918485255,32900408,HDFC BANK
2025-06-23,961.2073974609375,965.8940481289003,957.9514206200562,961.2073974609375,11739518,HDFC BANK
2025-06-24,967.3740234375,976.3033140635843,964.7593416610487,969.3966711141703,22625322,HDFC BANK
2025-06-25,976.8953247070312,977.7833457795492,968.854054817417,969.8900392545883,18405932,HDFC BANK
2025-06-26,997.4179077148438,1000.0325292056699,976.7966216145232,977.4872979366618,50084830,HDFC BANK
2025-06-27,1004.9491577148438,1007.393088107433,994.2258430942326,1004.0015037809444,28213384,HDFC BANK
2025-06-30,998.2658081054688,1004.400566128524,995.2732550959096,1003.2533964547342,13649020,HDFC BANK
2025-07-01,1003.5526123046875,1005.4977838847651,999.5126780283082,1000.0114368496795,14389386,HDFC BANK
2025-07-02,990.5350341796875,1007.4429706558585,986.4950998423908,1007.4429706558585,18878250,HDFC BANK
2025-07-03,991.0836181640625,1001.507689459166,989.6871300276722,994.9739612315547,16860506,HDFC BANK
2025-07-04,992.1809692382812,999.2633203019867,987.5424877454124,991.0836632772651,7863944,HDFC BANK
2025-07-07,991.2332763671875,996.7196233059492,989.4377568185034,992.0312782906421,11349426,HDFC BANK
2025-07-08,998.2159423828125,1000.0114620081927,986.0462146584523,986.0462146584523,15224316,HDFC BANK
2025-07-09,1003.1036987304688,1004.4005203490875,996.5699704674603,1001.0089360727129,13861428,HDFC BANK
2025-07-10,1000.6099243164062,1005.9965439473215,997.5176439735463,1005.4977851253348,17030310,HDFC BANK
2025-07-11,989.3878784179688,999.9117385623401,987.9913902076418,996.5201541247731,12516922,HDFC BANK
2025-07-14,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850,HDFC BANK
2025-07-15,995.2732543945312,999.3131887778599,984.0511806165923,984.0511806165923,14498168,HDFC BANK
2025-07-16,995.6722412109375,1008.8394251469304,993.826797075495,1006.4952830829005,17994612,HDFC BANK
2025-07-17,990.98388671875,999.9116815490105,988.8890631972324,999.5126501495852,22529158,HDFC BANK
2025-07-18,976.2705078125,996.0213445308241,974.0759568696542,990.9838927216935,16129446,HDFC BANK
2025-07-21,997.7670288085938,998.5151670456409,985.7968170158388,986.6446826643673,22309078,HDFC BANK
2025-07-22,1001.058837890625,1006.4953213272488,999.0139388595042,1004.051390877723,14836814,HDFC BANK
2025-07-23,1009.6375122070312,1012.3806857402005,999.0139248978445,1003.0039954915454,13634916,HDFC BANK
2025-07-24,1004.5999755859375,1016.3208076773761,1001.7072110041944,1016.3208076773761,19107176,HDFC BANK
2025-07-25,1002.2999877929688,1007.5,999.5,1007.5,9306598,HDFC BANK
