Date,Close,High,Low,Open,Volume,Stock,Return,MA20,MA50,Volatility,RSI,MACD,Trend
2025-03-20,872.580322265625,875.1703133281802,862.9850461318551,865.3036807089222,17833978,HDFC BANK,,,,,,,Sideways
2025-03-21,873.3696899414062,875.2196836615442,866.0684175252852,866.0684175252852,33508264,HDFC BANK,0.0009046361184625873,,,,,,Sideways
2025-03-24,887.9969482421875,890.1676194932312,874.997671627427,877.6369838460287,17393736,HDFC BANK,0.016748071829424838,,,,,,Sideways
2025-03-25,898.5789184570312,909.5555477752322,888.7369760332164,890.4143157035983,39101416,HDFC BANK,0.011916674078431333,,,,,,Sideways
2025-03-26,891.2283325195312,901.5636066855512,888.9836493829623,900.3302775382388,24478442,HDFC BANK,-0.008180234130266362,,,,,,Sideways
2025-03-27,900.5029296875,908.2235821777276,887.0596420099644,887.9969842041877,41658100,HDFC BANK,0.010406533129113216,,,,,,Sideways
2025-03-28,901.9088745117188,905.7568853680812,890.8829244709937,902.3035639097062,28773648,HDFC BANK,0.0015612884510065594,,,,,,Sideways
2025-04-01,872.1363525390625,892.8809726796349,870.9030234039785,888.9836405685396,28511006,HDFC BANK,-0.03301056549507253,,,,,,Sideways
2025-04-02,886.4676513671875,887.602278026219,873.5423260418547,873.5423260418547,11573564,HDFC BANK,0.01643240622455666,,,,,,Sideways
2025-04-03,885.456298828125,889.9702954640933,876.6503409310941,878.6729886492828,11250038,HDFC BANK,-0.0011408792385178002,,,,,,Sideways
2025-04-04,896.5316772460938,908.6922548603656,893.4729847277881,894.4103269547068,33540454,HDFC BANK,0.012508102808265864,,,,,,Sideways
2025-04-07,867.1289672851562,878.0562747489253,857.5090006629878,869.6450067324856,37995450,HDFC BANK,-0.032796063660856634,,,,,,Sideways
2025-04-08,872.7777099609375,879.1170096868965,863.4784203033727,870.730371547347,35563872,HDFC BANK,0.006514305125184139,,,,,,Sideways
2025-04-09,870.7303466796875,875.6636630914704,865.0570328061372,870.7303466796875,22454608,HDFC BANK,-0.002345801522980695,,,,45.04479917951899,,Sideways
2025-04-11,891.3269653320312,897.567622795633,875.540352413462,875.540352413462,32775766,HDFC BANK,0.0236544169281383,,,,55.6442549386296,,Sideways
2025-04-15,920.0142211914062,925.8848799667484,915.1302257322174,920.063542312984,49298344,HDFC BANK,0.032184884980663186,,,,65.59710602842307,,Sideways
2025-04-16,926.4768676757812,929.33821542373,917.8435635307726,929.33821542373,19136820,HDFC BANK,0.00702450716034142,,,,67.37324749204438,,Sideways
2025-04-17,940.6354370117188,947.048748489299,925.835487448072,928.450169292776,35703084,HDFC BANK,0.015282161735410194,,,,70.91592403307948,,Sideways
2025-04-21,950.6994018554688,962.3420166432836,942.2634427629204,949.170085798879,34247298,HDFC BANK,0.010699113012073935,,,,73.14780898123416,,Sideways
2025-04-22,967.7686767578124,972.1593405008402,954.5967457498784,954.5967457498784,45961750,HDFC BANK,0.017954439509512365,898.7158294677735,,,76.44890583773093,,Sideways
2025-04-23,949.1207275390624,976.2539669757358,947.4433879660209,976.2539669757358,30570642,HDFC BANK,-0.01926901507209733,902.5428497314454,,0.017090329066955543,66.78878089071537,,Sideways
2025-04-24,945.6181030273438,949.1207455952106,939.8460867592294,942.2634238174406,25931754,HDFC BANK,-0.0036903888094409476,906.1552703857421,,0.01716982009421082,65.12421437163842,,Sideways
2025-04-25,942.8554077148438,953.6100615716746,933.2848220611924,949.5647662059754,18500878,HDFC BANK,-0.002921576166589168,908.898193359375,,0.016970762311219426,63.77411367330662,,Sideways
2025-04-28,947.29541015625,951.982060830828,941.4741328194632,942.8554253066496,13920492,HDFC BANK,0.004709102164633272,911.334017944336,,0.01685066296488427,65.02889464937616,,Sideways
2025-04-29,941.6714477539062,951.5380804410966,937.4287475214968,946.6047640975014,18918308,HDFC BANK,-0.005936862294536049,913.8561737060547,,0.01678119646901877,62.09496835832421,,Sideways
