Stock,Support1,Support2,Resistance1,Resistance2
HDFC BANK,817.0,867.1289672851562,1012.9000244140624,1009.5
HINDUSTAN UNILEVER,2077.300048828125,2193.361083984375,2671.5986328125,2583.391845703125
RELIANCE,1161.062744140625,1345.0,1592.300048828125,1569.9000244140625
SUN PHARMA,1553.210693359375,1579.04296875,1825.9000244140625,1823.711181640625
TCS,2356.0,2692.199951171875,3535.56396484375,3499.46142578125
